id;time_start;time_end;act;V01;V02;V03;V04;V05;V06;V07;V08;V09;V10;V11;objective
1059;24/11/2003;18/03/2005;func_039;cat_3;cat_02;cat_133;cat_2;cat_01;cat_4;cat_3;0.04;1;0.33;0.1332248;0.541170417
315;11/07/2004;28/01/2006;func_174;cat_2;cat_08;cat_404;cat_1;cat_01;cat_4;cat_3;0.16;1;0.33;0.1842804;0.624396319
580;25/06/2004;25/06/2004;func_005;cat_2;cat_15;cat_011;cat_2;cat_01;cat_1;cat_4;0;1;0.25;0.130719;0.023712937
580;22/02/2005;5/09/2005;func_177;cat_2;cat_15;cat_019;cat_2;cat_01;cat_1;cat_4;0.16;1;0.33;0.1874699;0.251812496
580;25/06/2004;22/02/2005;func_255;cat_2;cat_15;cat_011;cat_2;cat_01;cat_1;cat_4;0.08;1;0.33;0.1468974;0.2932124
199;31/07/2005;31/07/2005;func_007;cat_2;cat_09;cat_224;cat_2;cat_01;cat_1;cat_4;0.12;1;0.42;0.1879085;0.023712937
199;31/07/2005;31/07/2005;func_096;cat_2;cat_09;cat_224;cat_2;cat_01;cat_1;cat_4;0.12;1;0.58;0.2009804;0.027786611
199;31/07/2005;30/11/2005;func_177;cat_2;cat_09;cat_224;cat_2;cat_01;cat_1;cat_4;0.08;1;0.33;0.1699346;0.194453277
199;30/11/2005;21/07/2006;func_255;cat_2;cat_09;cat_224;cat_2;cat_01;cat_1;cat_4;0.08;1;0.33;0.1568627;0.285602508
379;2/08/2003;28/04/2005;func_177;cat_2;cat_08;cat_398;cat_2;cat_01;cat_4;cat_4;0.16;0.8;0.33;0.1501804;0.682103926
608;13/12/2004;27/07/2005;func_155;cat_3;cat_08;cat_397;cat_2;cat_01;cat_1;cat_2;0.08;1;0.33;0.181817;0.27807603
372;26/09/2007;24/09/2008;func_007;cat_2;cat_16;cat_308;cat_2;cat_01;cat_4;cat_3;0.04;1;0.42;0.1955523;0.418672888
372;23/12/2005;12/11/2006;func_010;cat_3;cat_16;cat_309;cat_2;cat_01;cat_4;cat_3;0.08;1;0.17;0.1573837;0.37527053
372;12/11/2006;26/09/2007;func_039;cat_3;cat_16;cat_300;cat_2;cat_01;cat_4;cat_3;0;1;0.33;0.1312752;0.3685248
372;17/02/2005;23/12/2005;func_216;cat_2;cat_16;cat_309;cat_2;cat_01;cat_4;cat_3;0;1;0.33;0.1755529;0.358906884
